id,name,family,style,alc_vol,bitter,ounces
1965,Sky-Five,Pale Ale,American IPA,0.067,70,12
162,Paddy Pale Ale,Pale Ale,American Pale Ale (APA),0.055999999999999994,41,12
1630,Night Cat (2014),Other Ales,American Dark Wheat Ale,0.057999999999999996,43,12
2432,White Reaper,Pale Ale,Belgian IPA,0.07,61,16
632,House Brand IPA,Pale Ale,American IPA,0.06,55,12
1360,Screaming Eagle Special Ale ESB,Stout & Bitter,Extra Special / Strong Bitter (ESB),0.048,38,12
2346,Sinister Minister Black IPA,Pale Ale,American IPA,0.077,65,16
1799,Are Wheat There Yet?,Other Ales,American Pale Wheat Ale,0.055,28,12
2056,Black Me Stout,Stout & Bitter,American Stout,0.06,45,12
55,Sunlight Cream Ale,Other Ales,Cream Ale,0.053,20,16
773,Blueberry Blonde Ale,Other Ales,American Blonde Ale,0.05,12,12
797,Brew Free! or Die IPA (2008),Pale Ale,American IPA,0.07,70,12
2051,Bravo Four Point,Pale Ale,American Pale Ale (APA),0.044000000000000004,45,12
772,Point Nude Beach Summer Wheat (2011),Other Ales,American Pale Wheat Ale,0.05,7,12
1603,Good Vibes IPA,Pale Ale,American IPA,0.073,85,12
1481,51K IPA,Pale Ale,American IPA,0.07,51,12
2425,Brass Knuckle Pale Ale,Pale Ale,American Pale Ale (APA),0.057,36,12
2415,Unchained #18 Hop Silo,Pale Ale,American Double / Imperial IPA,0.083,100,16
1484,Summer Paradise,Other Ales,American Pale Wheat Ale,0.05,18,12
2144,Robert Earl Keen Honey Pils,Lager & Pilsener,American Pilsner,0.05,17,12
11,Monk's Blood,Other Ales,Belgian Dark Ale,0.083,35,12
2317,Fivepine Chocolate Porter,Stout & Bitter,American Porter,0.062,40,12
1029,Wachusett Light IPA (2013),Pale Ale,American IPA,0.04,37,12
2503,Hop A-Peel,Pale Ale,American Double / Imperial IPA,0.075,115,16
1847,Colorado Red Ale,Other Ales,American Amber / Red Ale,0.066,44,12
1648,Lucky Day IPA,Pale Ale,American IPA,0.07200000000000001,85,16
1594,Maylani's Coconut Stout,Stout & Bitter,American Stout,0.053,35,16
1929,Second Fiddle,Pale Ale,American Double / Imperial IPA,0.08199999999999999,80,16
496,Hilliard's Saison,Other Ales,Saison / Farmhouse Ale,0.066,30,16
498,Double D Blonde (2011),Other Ales,American Blonde Ale,0.049,20,12
173,Back in Black,Other Ales,American Black Ale,0.068,65,12
1562,Grandma's Pecan,Other Ales,English Brown Ale,0.069,34,16
2083,Bourbon Barrel Batch 666: Sympathy for the Devil,Other Ales,Belgian Dark Ale,0.099,36,16
1971,Texas Pale Ale (TPA),Pale Ale,American IPA,0.055,40,16
615,Frosted Fields Winter Wheat,Other Ales,American Dark Wheat Ale,0.06,25,16
182,Stowaway IPA,Pale Ale,American IPA,0.069,69,12
1926,Long Trail IPA,Pale Ale,English India Pale Ale (IPA),0.059000000000000004,42,12
2407,Rule G IPA,Pale Ale,American IPA,0.07,88,12
1067,Disconnected Red,Other Ales,American Amber / Red Ale,0.067,85,16
1351,Grazias,Other Ales,Cream Ale,0.063,30,16
1725,Hopped on the High Seas (Calypso),Pale Ale,American IPA,0.07,60,12
2239,Torpedo,Pale Ale,American IPA,0.07200000000000001,65,12
1247,Ray Ray’s Pale Ale,Pale Ale,American Pale Ale (APA),0.052000000000000005,42,12
